Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
38,Robin Koch,de GER,DF,Eintracht Frankfurt,29,"€ 108,846 (£ 94,354, $126,771)","€ 5,660,000 (£ 4,906,414, $6,592,109)",
39,Aleksandar Pavlovic,de GER,MF,Bayern Munich,21,"€ 108,846 (£ 94,354, $126,771)","€ 5,660,000 (£ 4,906,414, $6,592,109)",Unverified estimation
40,Philipp Lienhart,at AUT,DF,Freiburg,29,"€ 101,538 (£ 88,019, $118,260)","€ 5,280,000 (£ 4,577,008, $6,149,529)",Unverified estimation
41,Castello Lukeba,fr FRA,DF,RB Leipzig,22,"€ 101,538 (£ 88,019, $118,260)","€ 5,280,000 (£ 4,577,008, $6,149,529)",Unverified estimation
42,Waldemar Anton,de GER,DF,Dortmund,29,"€ 101,538 (£ 88,019, $118,260)","€ 5,280,000 (£ 4,577,008, $6,149,529)",Unverified estimation
43,Aleix García,es ESP,MF,Leverkusen,28,"€ 101,538 (£ 88,019, $118,260)","€ 5,280,000 (£ 4,577,008, $6,149,529)",Unverified estimation
44,Julian Ryerson,no NOR,MF,Dortmund,27,"€ 96,154 (£ 83,352, $111,989)","€ 5,000,000 (£ 4,334,288, $5,823,418)",
45,Karim Adeyemi,de GER,"MF,FW",Dortmund,23,"€ 96,154 (£ 83,352, $111,989)","€ 5,000,000 (£ 4,334,288, $5,823,418)",
46,Maximilian Mittelstädt,de GER,"DF,MF",Stuttgart,28,"€ 94,423 (£ 81,851, $109,973)","€ 4,910,000 (£ 4,256,271, $5,718,596)",Unverified estimation
47,Jonathan Burkardt,de GER,FW,Eintracht Frankfurt,25,"€ 94,423 (£ 81,851, $109,973)","€ 4,910,000 (£ 4,256,271, $5,718,596)",Unverified estimation
48,Franck Honorat,fr FRA,"MF,FW",Gladbach,28,"€ 90,769 (£ 78,684, $105,717)","€ 4,720,000 (£ 4,091,568, $5,497,307)",Unverified estimation
49,Mohamed Amoura,dz ALG,"FW,MF",Wolfsburg,25,"€ 90,769 (£ 78,684, $105,717)","€ 4,720,000 (£ 4,091,568, $5,497,307)",Unverified estimation
50,Vinicius Souza,br BRA,MF,Wolfsburg,26,"€ 90,769 (£ 78,684, $105,717)","€ 4,720,000 (£ 4,091,568, $5,497,307)",Unverified estimation
51,Ermedin Demirović,ba BIH,FW,Stuttgart,27,"€ 90,769 (£ 78,684, $105,717)","€ 4,720,000 (£ 4,091,568, $5,497,307)",Unverified estimation
52,Maximilian Eggestein,de GER,MF,Freiburg,28,"€ 90,769 (£ 78,684, $105,717)","€ 4,720,000 (£ 4,091,568, $5,497,307)",Unverified estimation
53,Jobe Bellingham,eng ENG,MF,Dortmund,19,"€ 90,769 (£ 78,684, $105,717)","€ 4,720,000 (£ 4,091,568, $5,497,307)",Unverified estimation
54,Nico Schlotterbeck,de GER,DF,Dortmund,25,"€ 90,769 (£ 78,684, $105,717)","€ 4,720,000 (£ 4,091,568, $5,497,307)",
55,Yan Couto,br BRA,MF,Dortmund,23,"€ 90,769 (£ 78,684, $105,717)","€ 4,720,000 (£ 4,091,568, $5,497,307)",Unverified estimation
