Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
281,Yaser Asprilla,co COL,"FW,MF",Girona,21,"€ 27,885 (£ 24,172, $32,477)","€ 1,450,000 (£ 1,256,944, $1,688,791)",Unverified estimation
282,Ilaix Moriba,gn GUI,MF,Celta Vigo,22,"€ 26,154 (£ 22,672, $30,461)","€ 1,360,000 (£ 1,178,926, $1,583,970)",Unverified estimation
283,Sergio Carreira,es ESP,MF,Celta Vigo,24,"€ 26,154 (£ 22,672, $30,461)","€ 1,360,000 (£ 1,178,926, $1,583,970)",Unverified estimation
284,Enzo Boyomo,cm CMR,DF,Osasuna,23,"€ 24,231 (£ 21,005, $28,221)","€ 1,260,000 (£ 1,092,241, $1,467,501)",Unverified estimation
285,Juan Cruz Armada,es ESP,DF,Osasuna,33,"€ 24,231 (£ 21,005, $28,221)","€ 1,260,000 (£ 1,092,241, $1,467,501)",Unverified estimation
286,Raúl García,,CF,Osasuna,25,"€ 24,231 (£ 21,005, $28,221)","€ 1,260,000 (£ 1,092,241, $1,467,501)",Unverified estimation
287,Domingos Duarte,pt POR,DF,Getafe,30,"€ 24,231 (£ 21,005, $28,221)","€ 1,260,000 (£ 1,092,241, $1,467,501)",Unverified estimation
288,Kiko Femenía,es ESP,"DF,MF",Getafe,34,"€ 24,231 (£ 21,005, $28,221)","€ 1,260,000 (£ 1,092,241, $1,467,501)",Unverified estimation
289,Carles Aleñá,es ESP,MF,Alavés,27,"€ 24,231 (£ 21,005, $28,221)","€ 1,260,000 (£ 1,092,241, $1,467,501)",Unverified estimation
290,Jon Guridi,es ESP,"MF,FW",Alavés,30,"€ 24,231 (£ 21,005, $28,221)","€ 1,260,000 (£ 1,092,241, $1,467,501)",Unverified estimation
291,Randy Nteka,ao ANG,FW,Rayo Vallecano,27,"€ 24,231 (£ 21,005, $28,221)","€ 1,260,000 (£ 1,092,241, $1,467,501)",Unverified estimation
292,Santiago Colombatto,ar ARG,MF,Oviedo,28,"€ 24,231 (£ 21,005, $28,221)","€ 1,260,000 (£ 1,092,241, $1,467,501)",Unverified estimation
293,Arsen Zakharyan,ru RUS,MF,Real Sociedad,22,"€ 24,231 (£ 21,005, $28,221)","€ 1,260,000 (£ 1,092,241, $1,467,501)",Unverified estimation
294,Orri Óskarsson,,CF,Real Sociedad,21,"€ 24,231 (£ 21,005, $28,221)","€ 1,260,000 (£ 1,092,241, $1,467,501)",Unverified estimation
295,Valentín Gómez,,CB,Real Betis,22,"€ 24,231 (£ 21,005, $28,221)","€ 1,260,000 (£ 1,092,241, $1,467,501)",Unverified estimation
296,Santiago Mouriño,uy URU,DF,Villarreal,23,"€ 24,038 (£ 20,838, $27,997)","€ 1,250,000 (£ 1,083,572, $1,455,854)",Unverified estimation
297,Leo Román,es ESP,GK,Mallorca,25,"€ 24,038 (£ 20,838, $27,997)","€ 1,250,000 (£ 1,083,572, $1,455,854)",Unverified estimation
298,Manu Morlanes,es ESP,MF,Mallorca,26,"€ 24,038 (£ 20,838, $27,997)","€ 1,250,000 (£ 1,083,572, $1,455,854)",Unverified estimation
299,Samu Costa,pt POR,MF,Mallorca,24,"€ 24,038 (£ 20,838, $27,997)","€ 1,250,000 (£ 1,083,572, $1,455,854)",Unverified estimation
300,Tete Morente,es ESP,MF,Elche,28,"€ 24,038 (£ 20,819, $27,942)","€ 1,250,000 (£ 1,082,572, $1,452,958)",Unverified estimation
301,Cyril Ngonge,be BEL,MF,Espanyol,25,"€ 24,038 (£ 20,819, $27,942)","€ 1,250,000 (£ 1,082,572, $1,452,958)",Unverified estimation
302,Fernando Calero,es ESP,DF,Espanyol,29,"€ 24,038 (£ 20,838, $27,997)","€ 1,250,000 (£ 1,083,572, $1,455,854)",Unverified estimation
303,Kiké,es ESP,FW,Espanyol,35,"€ 24,038 (£ 20,838, $27,997)","€ 1,250,000 (£ 1,083,572, $1,455,854)",Unverified estimation
304,Marko Dmitrović,rs SRB,GK,Espanyol,33,"€ 24,038 (£ 20,838, $27,997)","€ 1,250,000 (£ 1,083,572, $1,455,854)",Unverified estimation
305,Pere Milla,es ESP,"MF,FW",Espanyol,32,"€ 24,038 (£ 20,838, $27,997)","€ 1,250,000 (£ 1,083,572, $1,455,854)",Unverified estimation
306,Roberto Férnandez,es ESP,FW,Espanyol,23,"€ 24,038 (£ 20,838, $27,997)","€ 1,250,000 (£ 1,083,572, $1,455,854)",Unverified estimation
307,Ørjan Nyland,no NOR,GK,Sevilla,34,"€ 24,038 (£ 20,838, $27,997)","€ 1,250,000 (£ 1,083,572, $1,455,854)",Unverified estimation
308,Aleix Febas,es ESP,MF,Elche,29,"€ 23,846 (£ 20,671, $27,773)","€ 1,240,000 (£ 1,074,903, $1,444,208)",Unverified estimation
309,Arnau Martinez,es ESP,"DF,MF",Girona,22,"€ 23,846 (£ 20,671, $27,773)","€ 1,240,000 (£ 1,074,903, $1,444,208)",Unverified estimation
310,Cristhian Stuani,uy URU,FW,Girona,38,"€ 23,846 (£ 20,671, $27,773)","€ 1,240,000 (£ 1,074,903, $1,444,208)",Unverified estimation
311,Iván Romero,es ESP,"FW,MF",Levante,24,"€ 23,846 (£ 20,671, $27,773)","€ 1,240,000 (£ 1,074,903, $1,444,208)",Unverified estimation
312,Olasagasti,es ESP,MF,Levante,24,"€ 23,846 (£ 20,671, $27,773)","€ 1,240,000 (£ 1,074,903, $1,444,208)",Unverified estimation
313,José Luis Morales,es ESP,MF,Levante,38,"€ 23,846 (£ 20,671, $27,773)","€ 1,240,000 (£ 1,074,903, $1,444,208)",Unverified estimation
314,Manu Sánchez,es ESP,DF,Levante,24,"€ 23,846 (£ 20,671, $27,773)","€ 1,240,000 (£ 1,074,903, $1,444,208)",Unverified estimation
315,Oriol Rey,es ESP,MF,Levante,27,"€ 23,846 (£ 20,671, $27,773)","€ 1,240,000 (£ 1,074,903, $1,444,208)",Unverified estimation
316,Marc Pubill,es ESP,DF,Atlético Madrid,22,"€ 23,846 (£ 20,671, $27,773)","€ 1,240,000 (£ 1,074,903, $1,444,208)",Unverified estimation
317,Dani Raba,es ESP,FW,Valencia,29,"€ 23,846 (£ 20,671, $27,773)","€ 1,240,000 (£ 1,074,903, $1,444,208)",Unverified estimation
318,Stole Dimitrievski,mk MKD,GK,Valencia,31,"€ 23,846 (£ 20,671, $27,773)","€ 1,240,000 (£ 1,074,903, $1,444,208)",Unverified estimation
319,Thierry Correia,pt POR,"DF,MF",Valencia,26,"€ 23,846 (£ 20,671, $27,773)","€ 1,240,000 (£ 1,074,903, $1,444,208)",Unverified estimation
320,Franco Cervi,ar ARG,"FW,MF",Celta Vigo,31,"€ 23,846 (£ 20,671, $27,773)","€ 1,240,000 (£ 1,074,903, $1,444,208)",Unverified estimation
321,Marc Bernal,es ESP,MF,Barcelona,18,"€ 23,846 (£ 20,671, $27,773)","€ 1,240,000 (£ 1,074,903, $1,444,208)",Unverified estimation
322,Marc Casado,es ESP,MF,Barcelona,21,"€ 23,846 (£ 20,671, $27,773)","€ 1,240,000 (£ 1,074,903, $1,444,208)",Unverified estimation
323,Luca Koleosho,it ITA,MF,Espanyol,20,"€ 23,077 (£ 20,004, $26,877)","€ 1,200,000 (£ 1,040,229, $1,397,620)",Unverified estimation
324,Antonio Blanco,es ESP,MF,Alavés,25,"€ 22,115 (£ 19,171, $25,757)","€ 1,150,000 (£ 996,886, $1,339,386)",Unverified estimation
325,Óscar Mingueza,es ESP,MF,Celta Vigo,26,"€ 22,115 (£ 19,171, $25,757)","€ 1,150,000 (£ 996,886, $1,339,386)",Unverified estimation
326,Pol Lozano,es ESP,MF,Espanyol,25,"€ 21,923 (£ 19,004, $25,533)","€ 1,140,000 (£ 988,218, $1,327,739)",Unverified estimation
327,Williot Swedberg,se SWE,"FW,MF",Celta Vigo,21,"€ 21,923 (£ 19,004, $25,533)","€ 1,140,000 (£ 988,218, $1,327,739)",Unverified estimation
328,Mihailo Ristić,rs SRB,"MF,DF",Celta Vigo,29,"€ 20,192 (£ 17,504, $23,518)","€ 1,050,000 (£ 910,200, $1,222,918)",Unverified estimation
329,Abel Bretones,es ESP,"MF,DF",Osasuna,24,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
330,Pablo Torre,es ESP,"MF,FW",Mallorca,22,"€ 20,000 (£ 17,337, $23,294)","€ 1,040,000 (£ 901,532, $1,211,271)",Unverified estimation
