Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
319,Stanis Idumbo,be BEL,MF,Monaco,20,"€ 15,385 (£ 13,336, $17,918)","€ 800,000 (£ 693,486, $931,747)",Unverified estimation
320,Diego Coppola,it ITA,DF,Paris FC,21,"€ 14,038 (£ 12,158, $16,318)","€ 730,000 (£ 632,222, $848,527)",Unverified estimation
321,Lamine Gueye,sn SEN,MF,Paris FC,27,"€ 14,038 (£ 12,169, $16,350)","€ 730,000 (£ 632,806, $850,219)",Unverified estimation
322,Rémy Riou,fr FRA,GK,Paris FC,37,"€ 14,038 (£ 12,169, $16,350)","€ 730,000 (£ 632,806, $850,219)",Unverified estimation
323,Samir Chergui,dz ALG,DF,Paris FC,26,"€ 14,038 (£ 12,169, $16,350)","€ 730,000 (£ 632,806, $850,219)",Unverified estimation
324,Antoine Mendy,sn SEN,DF,Nice,21,"€ 14,038 (£ 12,169, $16,350)","€ 730,000 (£ 632,806, $850,219)",Unverified estimation
325,Juma Bah,,CB,Nice,19,"€ 14,038 (£ 12,169, $16,350)","€ 730,000 (£ 632,806, $850,219)",Unverified estimation
326,Ayumu Seko,jp JPN,"MF,DF",Le Havre,25,"€ 14,038 (£ 12,169, $16,350)","€ 730,000 (£ 632,806, $850,219)",Unverified estimation
327,Sofiane Boufal,ma MAR,"MF,FW",Le Havre,31,"€ 14,038 (£ 12,158, $16,318)","€ 730,000 (£ 632,222, $848,527)",Unverified estimation
328,Amine Sbai,ma MAR,"MF,FW",Angers,24,"€ 14,038 (£ 12,158, $16,318)","€ 730,000 (£ 632,222, $848,527)",Unverified estimation
329,Goduine Koyalipou,cf CTA,FW,Angers,25,"€ 14,038 (£ 12,158, $16,318)","€ 730,000 (£ 632,222, $848,527)",Unverified estimation
330,Louis Mouton,fr FRA,MF,Angers,23,"€ 14,038 (£ 12,169, $16,350)","€ 730,000 (£ 632,806, $850,219)",Unverified estimation
331,Pierrick Capelle,fr FRA,MF,Angers,38,"€ 14,038 (£ 12,169, $16,350)","€ 730,000 (£ 632,806, $850,219)",Unverified estimation
332,Maxi Oyedele,,DM,Strasbourg,21,"€ 14,038 (£ 12,169, $16,350)","€ 730,000 (£ 632,806, $850,219)",Unverified estimation
333,Rafael Luís,,DM,Strasbourg,20,"€ 14,038 (£ 12,169, $16,350)","€ 730,000 (£ 632,806, $850,219)",Unverified estimation
334,Samuel Amo-Ameyaw,eng ENG,"MF,DF",Strasbourg,19,"€ 14,038 (£ 12,169, $16,350)","€ 730,000 (£ 632,806, $850,219)",Unverified estimation
335,Ethan Mbappé,fr FRA,"MF,FW",Lille,18,"€ 14,038 (£ 12,169, $16,350)","€ 730,000 (£ 632,806, $850,219)",Unverified estimation
336,Noah Edjouma,fr FRA,MF,Lille,19,"€ 14,038 (£ 12,158, $16,318)","€ 730,000 (£ 632,222, $848,527)",Unverified estimation
337,Abdoulaye Faye,sn SEN,DF,Lorient,20,"€ 14,038 (£ 12,169, $16,350)","€ 730,000 (£ 632,806, $850,219)",Unverified estimation
338,Bingourou Kamara,sn SEN,GK,Lorient,28,"€ 14,038 (£ 12,169, $16,350)","€ 730,000 (£ 632,806, $850,219)",Unverified estimation
339,Pablo Pagis,fr FRA,"MF,FW",Lorient,22,"€ 14,038 (£ 12,169, $16,350)","€ 730,000 (£ 632,806, $850,219)",Unverified estimation
340,Frederic Guilbert,fr FRA,"DF,MF",Nantes,30,"€ 14,038 (£ 12,158, $16,318)","€ 730,000 (£ 632,222, $848,527)",Unverified estimation
341,Louis Leroux,fr FRA,"MF,DF",Nantes,19,"€ 14,038 (£ 12,169, $16,350)","€ 730,000 (£ 632,806, $850,219)",Unverified estimation
342,Tylel Tati,,CB,Nantes,18,"€ 14,038 (£ 12,169, $16,350)","€ 730,000 (£ 632,806, $850,219)",Unverified estimation
343,Giorgi Kvilitaia,ge GEO,FW,Metz,31,"€ 14,038 (£ 12,158, $16,318)","€ 730,000 (£ 632,222, $848,527)",Unverified estimation
344,Giorgi Tsitaishvili,,RW,Metz,25,"€ 14,038 (£ 12,169, $16,350)","€ 730,000 (£ 632,806, $850,219)",Unverified estimation
345,Kamory Doumbia,ml MLI,MF,Brest,22,"€ 14,038 (£ 12,169, $16,350)","€ 730,000 (£ 632,806, $850,219)",Unverified estimation
346,Jhoanner Chávez,ec ECU,"DF,MF",Lens,23,"€ 14,038 (£ 12,169, $16,350)","€ 730,000 (£ 632,806, $850,219)",Unverified estimation
347,Robin Risser,fr FRA,GK,Lens,20,"€ 14,038 (£ 12,169, $16,350)","€ 730,000 (£ 632,806, $850,219)",Unverified estimation
